;650000;50;;;;;;;;;;;;;;Extraction from forest;;;;;;;;;;
Standing Biomass;;;;;;SOIL;;;;;DEADWOOD;;;;;Timber Vol (m3fub);;;;Pulpwood (m3fub);;;;Biomass (GROT + Stumps);;
Region;Per HA;Example farm;;;;;;;;;Region;Per HA;Example farm;;;Region;Per HA;Example farm;;Region;Per HA;Example farm;;Region;Per HA;Example farm
103970211;159,9541708;7997,708538;;;;60429750,86;92,96884748;4648,442374;;;2591122,378;3,986342121;199,317106;;;515819,6163;0,79356864;39,67843202;;503613,4577;0,774789935;38,73949675;;625924,6446;0,962960992;48,148
104450051;160,6923862;8034,619308;;;;60571189,54;93,18644544;4659,322272;;;2561805,699;3,941239538;197,0619769;;;515819,6163;0,79356864;39,67843202;;503613,4577;0,774789935;38,73949675;;625924,6446;0,962960992;48,148
104929891;161,4306015;8071,530077;;;;60712628,21;93,4040434;4670,20217;;;2532489,021;3,896136955;194,8068477;;;525889,9469;0,809061457;40,45307284;;546404,6065;0,840622471;42,03112357;;663170,5998;1,020262461;51,013
105269293;161,9527585;8097,637923;;;;60818325,95;93,5666553;4678,332765;;;2529937,708;3,892211859;194,6105929;;;525889,9469;0,809061457;40,45307284;;546404,6065;0,840622471;42,03112357;;663170,5998;1,020262461;51,013
105608696;162,4749169;8123,745846;;;;60924023,69;93,72926721;4686,46336;;;2527386,396;3,888286763;194,4143382;;;525889,9469;0,809061457;40,45307284;;546404,6065;0,840622471;42,03112357;;663170,5998;1,020262461;51,013
105948098;162,9970738;8149,853692;;;;61029721,43;93,89187912;4694,593956;;;2524835,084;3,884361667;194,2180834;;;525889,9469;0,809061457;40,45307284;;546404,6065;0,840622471;42,03112357;;663170,5998;1,020262461;51,013
106287500;163,5192308;8175,961538;;;;61135419,16;94,05449102;4702,724551;;;2522283,771;3,880436571;194,0218286;;;525889,9469;0,809061457;40,45307284;;546404,6065;0,840622471;42,03112357;;663170,5998;1,020262461;51,013
106626902;164,0413877;8202,069385;;;;61241116,9;94,21710293;4710,855146;;;2519732,459;3,876511476;193,8255738;;;519808,9537;0,799706083;39,98530413;;552608,5313;0,850166971;42,50834856;;652393,3327;1,00368205;50,184
107021509;164,6484754;8232,423769;;;;61339103,39;94,36785137;4718,392568;;;2525282,884;3,885050592;194,2525296;;;519808,9537;0,799706083;39,98530413;;552608,5313;0,850166971;42,50834856;;652393,3327;1,00368205;50,184
107416116;165,2555631;8262,778154;;;;61437089,87;94,5185998;4725,92999;;;2530833,31;3,893589707;194,6794854;;;519808,9537;0,799706083;39,98530413;;552608,5313;0,850166971;42,50834856;;652393,3327;1,00368205;50,184
107810723;165,8626508;8293,132538;;;;61535076,36;94,66934824;4733,467412;;;2536383,735;3,902128823;195,1064412;;;519808,9537;0,799706083;39,98530413;;552608,5313;0,850166971;42,50834856;;652393,3327;1,00368205;50,184
108205330;166,4697385;8323,486923;;;;61633062,84;94,82009668;4741,004834;;;2541934,161;3,910667939;195,533397;;;519808,9537;0,799706083;39,98530413;;552608,5313;0,850166971;42,50834856;;652393,3327;1,00368205;50,184
108599937;167,0768262;8353,841308;;;;61731049,33;94,97084512;4748,542256;;;2547484,586;3,919207055;195,9603528;;;407942;0,627603077;31,38015385;;724574,2971;1,114729688;55,73648439;;717958,4754;1,104551501;55,228
107773919;165,8060292;8290,301462;;;;61867655,11;95,18100786;4759,050393;;;2654917,304;4,084488159;204,224408;;;407942;0,627603077;31,38015385;;724574,2971;1,114729688;55,73648439;;717958,4754;1,104551501;55,228
106947901;164,5352323;8226,761615;;;;62004260,89;95,3911706;4769,55853;;;2762350,021;4,249769263;212,4884632;;;407942;0,627603077;31,38015385;;724574,2971;1,114729688;55,73648439;;717958,4754;1,104551501;55,228
106121882;163,2644338;8163,221692;;;;62140866,67;95,60133333;4780,066667;;;2869782,739;4,415050367;220,7525184;;;407942;0,627603077;31,38015385;;724574,2971;1,114729688;55,73648439;;717958,4754;1,104551501;55,228
105295864;161,9936369;8099,681846;;;;62277472,45;95,81149607;4790,574804;;;2977215,456;4,580331472;229,0165736;;;407942;0,627603077;31,38015385;;724574,2971;1,114729688;55,73648439;;717958,4754;1,104551501;55,228
104469846;160,72284;8036,142;;;;62414078,23;96,02165881;4801,08294;;;3084648,174;4,745612576;237,2806288;;;490968,195;0,755335685;37,76678423;;477586,0584;0,734747782;36,73738911;;594689,9612;0,914907633;45,745
105074335;161,6528231;8082,641154;;;;62321071,09;95,87857091;4793,928546;;;3054189,289;4,698752752;234,9376376;;;490968,195;0,755335685;37,76678423;;477586,0584;0,734747782;36,73738911;;594689,9612;0,914907633;45,745
105678824;162,5828062;8129,140308;;;;62228063,96;95,73548302;4786,774151;;;3023730,403;4,651892928;232,5946464;;;490968,195;0,755335685;37,76678423;;477586,0584;0,734747782;36,73738911;;594689,9612;0,914907633;45,745
106283313;163,5127892;8175,639462;;;;62135056,83;95,59239512;4779,619756;;;2993271,518;4,605033104;230,2516552;;;490968,195;0,755335685;37,76678423;;477586,0584;0,734747782;36,73738911;;594689,9612;0,914907633;45,745
106887802;164,4427723;8222,138615;;;;62042049,7;95,44930723;4772,465361;;;2962812,632;4,558173281;227,908664;;;490968,195;0,755335685;37,76678423;;477586,0584;0,734747782;36,73738911;;594689,9612;0,914907633;45,745
107492291;165,3727554;8268,637769;;;;61949042,57;95,30621933;4765,310967;;;2932353,747;4,511313457;225,5656728;;;530226,5277;0,81573312;40,78665598;;504671,7994;0,776418153;38,82090765;;637920,8932;0,981416759;49,071
107762109;165,78786;8289,393;;;;61961683,21;95,32566648;4766,283324;;;2912527,262;4,480811172;224,0405586;;;530226,5277;0,81573312;40,78665598;;504671,7994;0,776418153;38,82090765;;637920,8932;0,981416759;49,071
108031928;166,2029662;8310,148308;;;;61974323,86;95,34511363;4767,255682;;;2892700,776;4,450308887;222,5154443;;;530226,5277;0,81573312;40,78665598;;504671,7994;0,776418153;38,82090765;;637920,8932;0,981416759;49,071
108301747;166,6180723;8330,903615;;;;61986964,51;95,36456078;4768,228039;;;2872874,291;4,419806601;220,9903301;;;530226,5277;0,81573312;40,78665598;;504671,7994;0,776418153;38,82090765;;637920,8932;0,981416759;49,071
108571566;167,0331785;8351,658923;;;;61999605,16;95,38400793;4769,200397;;;2853047,806;4,389304316;219,4652158;;;530226,5277;0,81573312;40,78665598;;504671,7994;0,776418153;38,82090765;;637920,8932;0,981416759;49,071
108841385;167,4482846;8372,414231;;;;62012245,8;95,40345508;4770,172754;;;2833221,32;4,358802031;217,9401016;;;522380,5052;0,803662316;40,18311579;;529014,3259;0,813868194;40,69340969;;636117,5207;0,97864234;48,932
